3D打印	to 3D print
三穗	see 三穗縣|三穗县
三穗县	Sansui
三等分	to trisect
三等分角	to trisect an angle
三索锦蛇	copperhead race
三级	grade 3
三级士官	staff sergeant
三级片	third category movie
三级跳	triple jump
三级跳远	triple jump
三纲五常	three principles and fi…
三维	three-dimensional
三维空间	three-dimensional space
三缄其口	reluctant to speak abou…
三联书店	Joint Publishing
三联管	triplet
三聚体	trimer
三聚氰胺	melamine C3H6N6
三胚层动物	triploblastic animals
三胞胎	triplets
三脚两步	hurriedly
三脚架	tripod
三脚猫	sb with only rudimentar…
三自	abbr. for 三自愛國教會|三自爱国教会
三自教会	Three-Self Patriotic Mo…
三自爱国教会	Three-Self Patriotic Mo…
三色堇	pansy
三色猫	calico cat
三色紫罗兰	pansy
三节鞭	three-section staff
三芝	Sanzhi or Sanchih towns…
三芝乡	Sanzhi or Sanchih towns…
三苏	the Three Su's
三茶六饭	lit. to offer three kin…
三菱	Mitsubishi
三藏	Tripitaka
三藏法师	monk who has mastered t…
三藩之乱	Three feudatories rebel…
三藩叛乱	rebellion against the Q…
三藩市	San Francisco
三观	the three core personal…
三角	triangle
三角债	triangular debt
三角关系	triangular relationship
三角凳	three-legged stool
三角函数	trigonometric function
三角学	trigonometry
三角巾	sling
三角带	V-belt
三角座	Triangulum
三角形	triangle
三角恋爱	love triangle
三角恐龙	triceratops
三角旗	triangular flag
三角板	set square
三角柱体	triangular prism
三角法	trigonometry
三角洲	delta
三角测量法	triangulation
三角肌	deltoid muscle
三角腹带	athletic supporter
三角裤	briefs
三角裤衩	briefs
三角铁	triangle
三角锥	triangular pyramid
三角龙	triceratops
三言两句	in a few words
三言两语	in a few words
三论宗	Three Treatise School
三貂角	Cape San Diego or Santi…
三贞九烈	faithful to the death t…
三资企业	foreign
三足乌	three-legged Golden Cro…
三足金乌	three-legged Golden Cro…
三足鼎立	to form a tripartite ba…
三趾滨鹬	sanderling
三趾鸥	black-legged kittiwake
三跪九叩	to kneel three times an…
三轮	see 三輪車|三轮车
三轮车	pedicab
三轮车夫	pedicab driver
三边形	triangle
三连胜	hat-trick
三通	T-joint
三道眉草鹀	meadow bunting
三部曲	trilogy
三都	see 三都水族自治縣|三都水族自治县
三都县	see 三都水族自治縣|三都水族自治县
三都水族自治县	Sandu Shui Autonomous C…
三酸甘油酯	triglyceride
三里屯	Sanlitun
三里河	Sanlihe
三重	Sanchong
三重奏	trio
三铁	triathlon
三键	triple bond
三长两短	unexpected misfortune
三门	see 三門縣|三门县
三门县	Sanmen
三门峡	see 三門峽市|三门峡市
三门峡市	Sanmenxia
三阿姨	auntie
三陪小姐	female escort
三项	three items
三项全能	triathlon
三项式	trinomial
三顾茅庐	lit. to make three visi…
三马同槽	three horses at the sam…
三驾马车	troika
三魂七魄	three immortal souls an…
三鲜	three fresh ingredients
三鹿	Sanlu
三鹿集团	Sanlu Group
上一个	previous one
上一号	to go pee
上一页	preceding page
上万	over ten thousand
上上之策	the best policy
上下	the top and bottom of s…
上下五千年	Tales from 5000 Years o…
上下其手	to raise and lower one'…
上下床	bunk bed
上下文	context
上下文菜单	context menu
上下班	to start and finish work
上下铺	bunk bed
上不了台面	better kept under the t…
上不得台盘	lacking in social grace…
上个	first
上个星期	last week
上个月	last month
上乘	first-class
上书	to write a letter
上了年纪	to be getting on in yea…
上云	to migrate to the cloud
上交	to hand over to
上代	previous generation
上任	to take office
上传	to upload
上位	seat of honor
上位概念	superordinate concept
上位词	hypernym
上供	to make offerings
上元节	see 元宵節|元宵节
上党	see 上黨區|上党区
上党区	Shangdang
上分	to progress to the next…
上刑	severe punishment
上前	to advance
上升	to rise
上升空间	upside
上升趋势	an upturn
上午	morning
上半	first half
上半叶	the first half
上半场	first half of a game or…
上半夜	first half of the night
上半天	morning
上半年	first half of the year
上半时	first half of a game or…
上半晌	forenoon
上半身	the upper body
上半部分	upper part
上厕所	to go to the bathroom
上去	to go up
上发条	to wind up
上口	to be able to read alou…
上古	the distant past
上古汉语	Old Chinese
上台	to rise to power
上司	boss
上合	SCO
上合组织	Shanghai Cooperation Or…
上吊	to hang oneself
上同调	cohomology
上吐下泻	to vomit and have diarr…
上周	last week
上呼吸道感染	upper respiratory tract…
上品	top-quality
上唇	upper lip
上善若水	the ideal is to be like…
上回	last time
上场	on stage
上坟	to visit a grave
上坡	uphill
上坡段	uphill section
上坡路	uphill road
上城	see 上城區|上城区
上城区	Shangcheng
上域	codomain
上声	falling and rising tone
上外	abbr. for 上海外國語大學|上海外国语…
上大号	to defecate
上天	Heaven
上天入地	lit. to go up to heaven…
上头	to go to one's head
上夸克	up quark
上奏	to submit a memorial to…
上好	first-rate
上学	to go to school
上官	two-character surname S…
上家	preceding player
上将	general
上将军	top general
上尉	captain
上层	upper layer
上层建筑	superstructure
上山	to climb a hill
上山下乡	to work in the fields
上岗	to take up one's post
上岸	to go ashore
上峰	peak
上工	to go to work
上市	to hit the market
上市公司	listed company
上帝	God
上年	last year
上年纪	to get old
上床	to go to bed
上座	seat of honor
上座率	seat occupancy rate
上座部	Theravada school of Bud…
上弦	to wind up a watch
上弦月	first quarter moon
上当	taken in
上当受骗	to be duped
上心	carefully
上思县	Shangsi
上房	see 正房
上手	to obtain
上扬	to rise
上扬趋势	upward trend
上报	to report to one's supe…
上文	preceding part of the t…
上新	to introduce new items
上新世	Pliocene
上方	place above
上旬	first third of a month
上星	to broadcast via satell…
上星剧	satellite television sh…
上星期	last week
上映	to screen
上月	last month
上有老下有小	lit. above are the elde…
上期	previous period
上来	to come up
上杭	see 上杭縣|上杭县
上杭县	Shanghang
上林	see 上林縣|上林县
上林县	Shanglin
上架	to put goods on shelves
上标	superscript
上栗	see 上栗縣|上栗县
上栗县	Shangli
上校	high ranking officer in…
上桌	to place  on the table
上梁	to lay an upper beam
上梁不正下梁歪	lit. If the upper beam …
上楼	to go upstairs
上榜	to appear on the public…
上次	last time
上款	addressee
上气不接下气	to be out of breath
上水	Sheung Shui
上汽	abbr. for 上海汽車工業集團|上海汽车…
上流	upper class
上流社会	upper class
上浣	first ten days of a lun…
上浮	to float up
上海	Shanghai municipality
上海交通大学	Shanghai Jiao Tong Univ…
上海体育场	Shanghai Stadium
上海合作组织	Shanghai Cooperation Or…
上海外国语大学	Shanghai International …
上海大剧院	Shanghai Grand Theater
上海大学	Shanghai University
上海市	Shanghai municipality
上海戏剧学院	Shanghai Theatrical Ins…
上海振华港口机械	Shanghai Zhenhua Port M…
上海文广新闻传媒集团	Shanghai Media Group
上海汽车工业集团	Shanghai Automotive Ind…
上海浦东发展银行	Shanghai Pudong Develop…
上海环球金融中心	Shanghai World Financia…
上海证券交易所	Shanghai Stock Exchange
上海话	Shanghainese
上海财经大学	Shanghai University of …
上海音乐学院	Shanghai Conservatory o…
上涨	to rise
上游	upper reaches
上演	to screen
上火	to get angry
上热搜	to be trending
上焦	upper burner
上片	to start screening
上牌	to obtain a license pla…
上牙膛	palate
上犬式	upward-facing dog
上犹	see 上猶縣|上犹县
上犹县	Shangyou
上环	to be fitted with an IUD
上班	to go to work
上班族	office workers
上班时间	working hours
上界	upper bound
上疏	to present a memorial t…
上瘾	to get into a habit
上皮	epithelium
上相	photogenic
上眼睑	upper eyelid
上眼药	to apply eye drops
上睑	upper eyelid
上确界	supremum
上税	to pay taxes
上空	the skies above a certa…
上等	highest quality
上等兵	private first class
上算	to be worthwhile
上箭头	up-pointing arrow
上箭头键	up arrow key
上篮	layup
上紧发条	to wind the spring up t…
上级	higher authorities
上级领导	high-level leadership
上纲上线	to make a mountain out …
上线	to go online
上缴	to transfer  to higher …
上网	to go online
上网本	netbook
上肢	upper limb
上脸	to turn red in the face
上膘	to fatten up
上膛	roof of the mouth
上臂	upper arm
上船	to get on the boat
上色	top-quality
上艾瑟尔	Overijssel
上苍	heaven
上菜	to serve food
上蔡县	Shangcai
上虞区	Shangyu
上行	up
上行下效	subordinates follow the…
上街	to go onto the streets
上街区	Shangjie
上衣	jacket
上衫	blouse
上装	upper garment
上西天	to go to the Western Pa…
上覆	to inform
上议院	Upper Chamber
上访	to seek an audience wit…
上证	Shanghai Stock Exchange
上证综合指数	SSE  Composite Index
上诉	to appeal
上诉法院	appeals court
上课	to go to class
上调	to raise
上谕	imperial edict
上贼船	lit. to board a pirate …
上路	to start on a journey
上身	upper part of the body
上车	to get on or into
上轨道	to stay on track
上载	to upload
上辈	ancestors
上辈子	one's ancestors
上边	the top
上边儿	erhua variant of 上邊|上边
上达	to reach the higher aut…
上进	to make progress
上进心	ambition
上述	aforementioned
上部	upper section
上都	Shangdu
上野	Ueno
上钟	to clock in for work
上钩	to take the bait
上钩儿	erhua variant of 上鉤|上钩
上锁	to lock
上镜	photogenic
上门	to drop in
上门女婿	live-in son-in-law
上门费	house call fee
上阵	to go into battle
上限	upper bound
上面	on top of
上面级	upper stage
上鞋	to sole a shoe
上页	previous page
上颌	maxilla
上颌骨	maxilla
上风	on the up
上饶	see 上饒市|上饶市
上饶市	Shangrao
上馆子	to eat out
上首	seat of honor
上香	to offer incense
上马	to get on a horse
上高	see 上高縣|上高县
上高县	Shanggao
上齿	upper teeth
下一个	the next one
下一代	the next generation
下一次	next
下一步	the next step
下一站	the next stop
下一页	next page
下不为例	not to be repeated
下不了台	to be unable to extrica…
下不来	awkward
下不来台	to be put on the spot
下世	to die
下丘脑	hypothalamus
下个	second
下个星期	next week
下个月	next month
下九流	the lowest professions
下乡	to go to the countryside
下人	servant
下令	to give an order
下任	next office holder
下位词	hyponym
下体	lower body
下作	contemptible
下关	Shimonoseki
下决心	to determine
下凡	to descend to the human…
下划线	underscore _
下列	following
下午	afternoon
下午好	good afternoon
下午茶	afternoon tea
下半	second half
下半场	second half of a game o…
下半夜	second half of the night
下半天	afternoon
下半年	second half of the year
下半时	second half of a game o…
下半身	lower half of one's body
下单	to place an order
下厨	to go to the kitchen
下去	to go down
下发	to issue  to lower leve…
下台	to go off the stage
下台阶	to extricate oneself
下同	similarly hereinafter
下周	next week
下咽	hypopharynx
下咽癌	hypopharyngeal cancer
下唇	lower lip
下回	next chapter
下地	to go down to the fields
下场	to leave
下场门	exit door
下坠	to fall
下坡	downhill
下坡路	downhill road
下垂	to droop
下士	lowest-ranked noncommis…
下头	off-putting
